2020-2021-autumn-000,2020-2021,autumn,"Introductory, miscellaneous", ,cs1C,Introduction to Computing at Stanford,https://web.stanford.edu/class/cs1c/,Smith
2020-2021-autumn-001,2020-2021,autumn,"Introductory, miscellaneous", ,cs1U,Practical Unix, ,Zelenski
2020-2021-autumn-002,2020-2021,autumn,"Introductory, miscellaneous", ,cs7,Personal Finance for Engineers, ,Nash
2020-2021-autumn-003,2020-2021,autumn,Artificial Intelligence, ,cs24,Minds and Machines, ,Lassiter
2020-2021-autumn-004,2020-2021,autumn,Software Systems, ,cs44N,Great Ideas in Graphics, ,James
2020-2021-autumn-005,2020-2021,autumn,Mathematical Foundations of Computing, ,cs56N,Great Discoveries and Inventions in Computing, ,Hennessy
2020-2021-autumn-006,2020-2021,autumn,Technology and Society, ,cs80Q,Race and Gender in Silicon Valley, ,Lee
2020-2021-autumn-007,2020-2021,autumn,"Introductory, miscellaneous", ,cs100A,Problem-solving Lab for CS 106A, ,Sahami/Piech
2020-2021-autumn-008,2020-2021,autumn,"Introductory, miscellaneous", ,cs100B,Problem-solving Lab for CS 106B, ,Zelenski/Gregg
2020-2021-autumn-009,2020-2021,autumn,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Schwarz/Lee
2020-2021-autumn-010,2020-2021,autumn,"Introductory, miscellaneous", ,cs105,Introduction to Computers,http://web.stanford.edu/class/cs105/,Young
2020-2021-autumn-011,2020-2021,autumn,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Sahami/Piech
2020-2021-autumn-012,2020-2021,autumn,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Zelenski/Gregg
2020-2021-autumn-013,2020-2021,autumn,"Introductory, miscellaneous", ,cs106L,Standard C++ Programming Laboratory,http://web.stanford.edu/class/cs106l/,Zelenski
2020-2021-autumn-014,2020-2021,autumn,"Introductory, miscellaneous", ,cs106M,Enrichment Adventures in Programming Abstractions,https://web.stanford.edu/class/cs106m/,Zelenski
2020-2021-autumn-015,2020-2021,autumn,"Introductory, miscellaneous", ,cs106S,Coding for Social Good,http://web.stanford.edu/class/cs106s/,Cain
2020-2021-autumn-016,2020-2021,autumn,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Troccoli
2020-2021-autumn-017,2020-2021,autumn,"Introductory, miscellaneous", ,cs107A,Problem-solving Lab for CS 107,https://web.stanford.edu/class/cs107a/,Troccoli
2020-2021-autumn-018,2020-2021,autumn,"Introductory, miscellaneous", ,cs107E,Computer Systems from the Ground Up,http://web.stanford.edu/class/cs107e/,Levis/Kozyraki
2020-2021-autumn-019,2020-2021,autumn,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Yan/Cain
2020-2021-autumn-020,2020-2021,autumn,"Introductory, miscellaneous", ,cs109A,Problem Solving Lab for 109,https://web.stanford.edu/class/cs109a/,Yan/Cain
2020-2021-autumn-021,2020-2021,autumn,Hardware Systems, ,cs110,Principles of Computer Systems,http://web.stanford.edu/class/cs110/,Cain
2020-2021-autumn-022,2020-2021,autumn,Hardware Systems, ,cs110A,Problem Solving Lab for CS110, ,Cain
2020-2021-autumn-023,2020-2021,autumn,Artificial Intelligence, ,cs129,Machine Learning (Applied),https://web.stanford.edu/class/cs129/,Ng/Bensouda Mo
2020-2021-autumn-024,2020-2021,autumn,Numerical Analysis, ,cs131,Computer Vision: Foundations and Applications,http://vision.stanford.edu/teaching/cs131_fall2122/index.html,Niebles Duque/
2020-2021-autumn-025,2020-2021,autumn,Software Systems, ,cs144,Introduction to Computer Networking,http://web.stanford.edu/class/cs144/,McKeown/Winste
2020-2021-autumn-026,2020-2021,autumn,Software Systems, ,cs145,Data Management and Data Systems,https://cs145-fa21.github.io,Shivakumar
2020-2021-autumn-027,2020-2021,autumn,Software Systems, ,cs148,Introduction to Computer Graphics and Imaging,http://web.stanford.edu/class/cs148/,Fedkiw
2020-2021-autumn-028,2020-2021,autumn,Software Systems, ,cs149,Parallel Computing,https://gfxcourses.stanford.edu/cs149/fall21,Olukotun/Fatah
2020-2021-autumn-029,2020-2021,autumn,Mathematical Foundations of Computing, ,cs154,Introduction to the Theory of Computation,https://omereingold.wordpress.com/cs-154-introduction-to-automata-and-complexity-theory/,Reingold
2020-2021-autumn-030,2020-2021,autumn,Mathematical Foundations of Computing, ,cs157,Computational Logic,http://logic.stanford.edu/classes/cs157/current/,Genesereth
2020-2021-autumn-031,2020-2021,autumn,Analysis of Algorithms, ,cs161,Design and Analysis of Algorithms,https://stanford-cs161.github.io/summer2022/,Rubinstein
2020-2021-autumn-032,2020-2021,autumn,Analysis of Algorithms, ,cs161A,Problem-Solving Lab for CS161, ,Rubinstein
2020-2021-autumn-033,2020-2021,autumn,Technology and Society, ,cs183E,Effective Leadership in High-tech, ,Finley/Goldfei
2020-2021-autumn-034,2020-2021,autumn,Independent Study and Practicum, ,cs191,Senior Project,http://cs191.stanford.edu/,(none listed)
2020-2021-autumn-035,2020-2021,autumn,Independent Study and Practicum, ,cs191W,Writing Intensive Senior Project,http://cs191w.stanford.edu/,(none listed)
2020-2021-autumn-036,2020-2021,autumn,Independent Study and Practicum, ,cs192,Programming Service Project,http://cs192.stanford.edu/,(none listed)
2020-2021-autumn-037,2020-2021,autumn,Independent Study and Practicum, ,cs193U,Video Game Development in C++ and Unreal Engine, ,Looman/Proulx
2020-2021-autumn-038,2020-2021,autumn,Independent Study and Practicum, ,cs194A,Android Programming Workshop,https://web.stanford.edu/class/cs194a/,Borenstein/Pan
2020-2021-autumn-039,2020-2021,autumn,Independent Study and Practicum, ,cs195,Supervised Undergraduate Research, ,(none listed)
2020-2021-autumn-040,2020-2021,autumn,Independent Study and Practicum, ,cs198,Teaching Computer Science,https://cs198.stanford.edu/,Sahami/McCoy
2020-2021-autumn-041,2020-2021,autumn,Independent Study and Practicum, ,cs198B,Additional Topics in Teaching Computer Science, ,Sahami/McCoy
2020-2021-autumn-042,2020-2021,autumn,Independent Study and Practicum, ,cs199,Independent Work,http://cs199.stanford.edu/,(none listed)
2020-2021-autumn-043,2020-2021,autumn,Independent Study and Practicum, ,cs199P,Independent Work,http://cs199p.stanford.edu/,(none listed)
2020-2021-autumn-044,2020-2021,autumn,"Introductory, miscellaneous", ,cs202,Law for Computer Science Professionals,http://web.stanford.edu/class/cs202/,Hansen
2020-2021-autumn-045,2020-2021,autumn,Artificial Intelligence, ,cs221,Artificial Intelligence: Principles & Techniques,https://web.stanford.edu/class/cs221/,Liang/Sadigh
2020-2021-autumn-046,2020-2021,autumn,Artificial Intelligence, ,cs225A,Experimental Robotics,https://cs225a.stanford.edu/,Khatib
2020-2021-autumn-047,2020-2021,autumn,Artificial Intelligence, ,cs229,Machine Learning,http://cs229.stanford.edu/,Ma/Re
2020-2021-autumn-048,2020-2021,autumn,Numerical Analysis, ,cs230,Deep Learning,http://cs230.stanford.edu/,Ng/Katanforoos
2020-2021-autumn-049,2020-2021,autumn,Numerical Analysis, ,cs231C,Computer Vision and Image Analysis of Art, ,Stork
2020-2021-autumn-050,2020-2021,autumn,Numerical Analysis, ,cs237A,Principles of Robotic Autonomy, ,Pavone
2020-2021-autumn-051,2020-2021,autumn,Numerical Analysis, ,cs238,Decision Making under Uncertainty,http://web.stanford.edu/class/aa228/,Kochenderfer
2020-2021-autumn-052,2020-2021,autumn,Software Systems, ,cs247G,Introduction to Game Design, ,Wodtke
2020-2021-autumn-053,2020-2021,autumn,Mathematical Foundations of Computing, ,cs251,Cryptocurrencies and Blockchain Technologies,https://cs251.stanford.edu/,Boneh
2020-2021-autumn-054,2020-2021,autumn,Analysis of Algorithms, ,cs263,Counting and Sampling, ,Anari
2020-2021-autumn-055,2020-2021,autumn,Analysis of Algorithms, ,cs265,Randomized Algorithms and Probabilistic Analysis,http://web.stanford.edu/class/cs265/,Wootters
2020-2021-autumn-056,2020-2021,autumn,Analysis of Algorithms, ,cs269O,Introduction to Optimization Theory, ,Sidford
2020-2021-autumn-057,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs271,Artificial Intelligence in Healthcare,https://biods220.stanford.edu/,Yeung
2020-2021-autumn-058,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs273B,Deep Learning in Genomics and Biomedicine, ,Kundaje/Zou
2020-2021-autumn-059,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs274,Reps and Algor for Computational Molecular Bio, ,Altman
2020-2021-autumn-060,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs279,Comp Biology: Struct & Org of Biomolecules & Cells,http://web.stanford.edu/class/cs279/,Dror
2020-2021-autumn-061,2020-2021,autumn,Independent Study and Practicum, ,cs294S,Research Project in Software Systems and Security,https://web.stanford.edu/class/cs294s/,Lam
2020-2021-autumn-062,2020-2021,autumn,Independent Study and Practicum, ,cs294W,Writing Intensive Research Project in CS,https://web.stanford.edu/class/cs294s/,Lam
2020-2021-autumn-063,2020-2021,autumn,"Introductory, miscellaneous", ,cs300-2,Departmental Lecture Series, ,(none listed)
2020-2021-autumn-064,2020-2021,autumn,"Introductory, miscellaneous", ,cs300,Departmental Lecture Series,https://cs.stanford.edu/academics/phd/cs300-seminar,Ousterhout
2020-2021-autumn-065,2020-2021,autumn,Hardware Systems, ,cs315B,Parallel Computing Research Project,http://web.stanford.edu/class/cs315b/,Aiken
2020-2021-autumn-066,2020-2021,autumn,Artificial Intelligence, ,cs326,Topics in Advanced Robotic Manipulation,http://web.stanford.edu/class/cs326/,Bohg
2020-2021-autumn-067,2020-2021,autumn,Numerical Analysis, ,cs330,Deep Multi-task and Meta Learning,http://cs330.stanford.edu/,Finn
2020-2021-autumn-068,2020-2021,autumn,Software Systems, ,cs340LX,"Advanced Operating System Lab, Accelerated (II)", ,Engler
2020-2021-autumn-069,2020-2021,autumn,Software Systems, ,cs343D,Domain-Specific Programming Models and Compilers, ,Kjoelstad/Hanr
2020-2021-autumn-070,2020-2021,autumn,Software Systems, ,cs348I,Graphics in the Era of AI,http://cs348i.stanford.edu/,Liu/Wu
2020-2021-autumn-071,2020-2021,autumn,Software Systems, ,cs349F,Technology for Financial Systems,http://web.stanford.edu/class/cs349f/,Rosenblum/Prab
2020-2021-autumn-072,2020-2021,autumn,Software Systems, ,cs349T,Project Lab: Video and Audio Tech for Theater in A, ,Winstein/Foula
2020-2021-autumn-073,2020-2021,autumn,Mathematical Foundations of Computing, ,cs356,Topics in Computer and Network Security,https://cs356.stanford.edu/,Durumeric
2020-2021-autumn-074,2020-2021,autumn,Mathematical Foundations of Computing, ,cs357S,Formal Methods for Computer Systems, ,Trippel
2020-2021-autumn-075,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs377E,Designing Solutions to Global Grand Challenges,https://hci.stanford.edu/courses/cs377e/2020/au/,Landay
2020-2021-autumn-076,2020-2021,autumn,Independent Study and Practicum, ,cs390A,Curricular Practical Training,http://cs390a.stanford.edu/,(none listed)
2020-2021-autumn-077,2020-2021,autumn,Independent Study and Practicum, ,cs390B,Curricular Practical Training,http://cs390b.stanford.edu/,(none listed)
2020-2021-autumn-078,2020-2021,autumn,Independent Study and Practicum, ,cs390C,Curricular Practical Training,http://cs390c.stanford.edu/,(none listed)
2020-2021-autumn-079,2020-2021,autumn,Independent Study and Practicum, ,cs390D,Part-time Curricular Practical Training, ,(none listed)
2020-2021-autumn-080,2020-2021,autumn,Independent Study and Practicum, ,cs393,Computer Laboratory, ,(none listed)
2020-2021-autumn-081,2020-2021,autumn,Independent Study and Practicum, ,cs395,Independent Database Project,http://cs395.stanford.edu/,(none listed)
2020-2021-autumn-082,2020-2021,autumn,Independent Study and Practicum, ,cs399,Independent Project,http://cs399.stanford.edu/,(none listed)
2020-2021-autumn-083,2020-2021,autumn,Independent Study and Practicum, ,cs399P,Independent Project,http://cs399p.stanford.edu/,(none listed)
2020-2021-autumn-084,2020-2021,autumn,Software Systems, ,cs448B,Topics in Computer Graphics,https://magrawala.github.io/cs448b-fa21/,Agrawala
2020-2021-autumn-085,2020-2021,autumn,Analysis of Algorithms, ,cs468,Topics in Geometric Algorithms,http://graphics.stanford.edu/courses/cs468-20-fall/,Birdal/Guibas
2020-2021-autumn-086,2020-2021,autumn,Computational Biology and Interdisciplinary Topics, ,cs476A,"Music, Computing and Design I",https://ccrma.stanford.edu/courses/256a/,Wang
2020-2021-autumn-087,2020-2021,autumn,Independent Study and Practicum, ,cs499,Advanced Reading and Research,http://cs499.stanford.edu/,(none listed)
2020-2021-autumn-088,2020-2021,autumn,Independent Study and Practicum, ,cs499P,Advanced Reading and Research, ,(none listed)
2020-2021-autumn-089,2020-2021,autumn,Artificial Intelligence, ,cs522,Seminar in Artificial Intelligence in Healthcare,https://shift.stanford.edu/healthai/,Dror
2020-2021-autumn-090,2020-2021,autumn,Software Systems, ,cs547,Human-Computer Interaction Seminar,https://hci.stanford.edu/courses/cs547/,Bernstein
2020-2021-autumn-091,2020-2021,autumn,"Introductory, miscellaneous", ,cs802,TGR Dissertation,http://cs802.stanford.edu/,(none listed)
